Account,Fund,Department,Project,BudgetRef,Amount,Descr,LineRef
5312,C,98UNI,01,,17.47,ITS CADS 06 2016,ITS-CADS
5312,C,98ZZZ,Z172,,0.72,ITS CADS 06 2016,ITS-CADS
5312,E,54972,R1,,0.18,ITS CADS 06 2016,ITS-CADS
5312,Q,20350,04,,0.79,ITS CADS 06 2016,ITS-CADS
5312,Q,27017,PM,,2.71,ITS CADS 06 2016,ITS-CADS
5312,Q,40401,0106,,2.21,ITS CADS 06 2016,ITS-CADS
5312,Q,43100,23,,7.28,ITS CADS 06 2016,ITS-CADS
5312,Q,44524,01,,1.03,ITS CADS 06 2016,ITS-CADS
5312,Q,47310,01,,2.83,ITS CADS 06 2016,ITS-CADS
5312,Q,53200,42,,4.59,ITS CADS 06 2016,ITS-CADS
5312,Q,53710,02,,0.60,ITS CADS 06 2016,ITS-CADS
5312,Q,55510,2501,,16.15,ITS CADS 06 2016,ITS-CADS
5312,Q,61524,01,,12.35,ITS CADS 06 2016,ITS-CADS
5312,Q,63521,,,0.12,ITS CADS 06 2016,ITS-CADS
5312,Q,63538,,,3.30,ITS CADS 06 2016,ITS-CADS
5312,R,15010,001,,78.47,ITS CADS 06 2016,ITS-CADS
5312,R,15010,002,,4.79,ITS CADS 06 2016,ITS-CADS
5312,R,15010,003,,23.90,ITS CADS 06 2016,ITS-CADS
5312,R,15010,004,,8.19,ITS CADS 06 2016,ITS-CADS
5312,R,15010,005,,17.58,ITS CADS 06 2016,ITS-CADS
5312,R,15010,007,,21.82,ITS CADS 06 2016,ITS-CADS
5312,R,15010,008,,201.10,ITS CADS 06 2016,ITS-CADS
5312,R,15010,009,,71.80,ITS CADS 06 2016,ITS-CADS
5312,R,15010,012,,67.86,ITS CADS 06 2016,ITS-CADS
5312,R,15010,014,,70.81,ITS CADS 06 2016,ITS-CADS
5312,R,15010,015,,3.21,ITS CADS 06 2016,ITS-CADS
5312,R,15010,016,,0.70,ITS CADS 06 2016,ITS-CADS
5312,R,15010,020,,11.25,ITS CADS 06 2016,ITS-CADS
5312,R,15010,027,,1.83,ITS CADS 06 2016,ITS-CADS
5312,R,15010,033,,6.62,ITS CADS 06 2016,ITS-CADS
5312,R,15010,035,,1.29,ITS CADS 06 2016,ITS-CADS
5312,R,15010,036,,79.42,ITS CADS 06 2016,ITS-CADS
5312,R,15010,038,,17.38,ITS CADS 06 2016,ITS-CADS
5312,R,15010,040,,41.46,ITS CADS 06 2016,ITS-CADS
5312,R,15010,042,,10.59,ITS CADS 06 2016,ITS-CADS
5312,R,15010,044,,50.76,ITS CADS 06 2016,ITS-CADS
5312,R,15010,046,,27.77,ITS CADS 06 2016,ITS-CADS
5312,R,15010,048,,52.77,ITS CADS 06 2016,ITS-CADS
5312,R,15010,049,,1.28,ITS CADS 06 2016,ITS-CADS
5312,R,15010,050,,3.11,ITS CADS 06 2016,ITS-CADS
5312,R,15010,054,,3.16,ITS CADS 06 2016,ITS-CADS
5312,R,15010,055,,14.34,ITS CADS 06 2016,ITS-CADS
5312,R,15010,063,,65.34,ITS CADS 06 2016,ITS-CADS
5312,R,15010,065,,75.27,ITS CADS 06 2016,ITS-CADS
5312,R,15010,068,,0.36,ITS CADS 06 2016,ITS-CADS
5312,R,20305,,,3.75,ITS CADS 06 2016,ITS-CADS
5312,R,20330,74,,3.97,ITS CADS 06 2016,ITS-CADS
5312,R,20360,,,1.97,ITS CADS 06 2016,ITS-CADS
5312,R,20365,,,14.80,ITS CADS 06 2016,ITS-CADS
5312,R,20390,,,4.36,ITS CADS 06 2016,ITS-CADS
5312,R,20511,,,7.66,ITS CADS 06 2016,ITS-CADS
5312,R,20511,COMM,,0.42,ITS CADS 06 2016,ITS-CADS
5312,R,20800,,,93.12,ITS CADS 06 2016,ITS-CADS
5312,R,21010,,,20.18,ITS CADS 06 2016,ITS-CADS
5312,R,21020,,,21.81,ITS CADS 06 2016,ITS-CADS
5312,R,21030,,,16.05,ITS CADS 06 2016,ITS-CADS
5312,R,21100,,,35.46,ITS CADS 06 2016,ITS-CADS
5312,R,21125,,,8.38,ITS CADS 06 2016,ITS-CADS
5312,R,21131,,,29.08,ITS CADS 06 2016,ITS-CADS
5312,R,21135,,,6.70,ITS CADS 06 2016,ITS-CADS
5312,R,21210,,,6.48,ITS CADS 06 2016,ITS-CADS
5312,R,21220,,,6.92,ITS CADS 06 2016,ITS-CADS
5312,R,21300,,,13.65,ITS CADS 06 2016,ITS-CADS
5312,R,21510,,,2.68,ITS CADS 06 2016,ITS-CADS
5312,R,22100,,,14.85,ITS CADS 06 2016,ITS-CADS
5312,R,22260,,,6.12,ITS CADS 06 2016,ITS-CADS
5312,R,22261,,,5.68,ITS CADS 06 2016,ITS-CADS
5312,R,22264,,,3.30,ITS CADS 06 2016,ITS-CADS
5312,R,22268,,,19.37,ITS CADS 06 2016,ITS-CADS
5312,R,22270,,,15.66,ITS CADS 06 2016,ITS-CADS
5312,R,22280,,,19.43,ITS CADS 06 2016,ITS-CADS
5312,R,22290,,,110.58,ITS CADS 06 2016,ITS-CADS
5312,R,22291,,,1.83,ITS CADS 06 2016,ITS-CADS
5312,R,23300,,,15.74,ITS CADS 06 2016,ITS-CADS
5312,R,23510,,,467.02,ITS CADS 06 2016,ITS-CADS
5312,R,24400,,,11.19,ITS CADS 06 2016,ITS-CADS
5312,R,24510,,,187.21,ITS CADS 06 2016,ITS-CADS
5312,R,26510,,,101.48,ITS CADS 06 2016,ITS-CADS
5312,R,26800,,,5.47,ITS CADS 06 2016,ITS-CADS
5312,R,26805,,,7.26,ITS CADS 06 2016,ITS-CADS
5312,R,26806,,,5.98,ITS CADS 06 2016,ITS-CADS
5312,R,26810,,,11.95,ITS CADS 06 2016,ITS-CADS
5312,R,26812,,,30.26,ITS CADS 06 2016,ITS-CADS
